,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
0,0,0.0,0.0,0.0,0.0,3.3865907192230225
1,1,1.0,0.0019646366126835346,0.0,0.0,3.3865907192230225
2,2,2.0,0.003929273225367069,0.0,0.0,4.335376739501953
3,3,3.0,0.005893909838050604,0.0,0.0,1.6123231649398804
4,4,4.0,0.007858546450734138,0.0,0.0,2.117624044418335
5,5,5.0,0.009823182597756386,1.0,1.0,0.003374804276973009
6,6,6.0,0.011787819676101208,1.0,1.0,0.005519485101103783
7,7,7.0,0.013752455823123455,1.0,1.0,0.0018570469692349434
8,8,8.0,0.015717092901468277,1.0,1.0,0.0018570469692349434
9,9,9.0,0.017681729048490524,1.0,1.0,0.0018570469692349434
10,10,10.0,0.01964636519551277,1.0,1.0,0.0018570469692349434
11,11,11.0,0.02161100134253502,1.0,1.0,0.0018570469692349434
12,12,12.0,0.023575639352202415,1.0,1.0,0.0018570469692349434
13,13,13.0,0.025540275499224663,1.0,1.0,0.0018570469692349434
14,14,14.0,0.02750491164624691,1.0,1.0,0.0018570469692349434
15,15,15.0,0.029469547793269157,1.0,1.0,0.0018570469692349434
16,16,16.0,0.031434185802936554,1.0,1.0,0.0018570469692349434
17,17,17.0,0.0333988219499588,1.0,1.0,0.0018570469692349434
18,18,18.0,0.03536345809698105,1.0,1.0,0.0018570469692349434
19,19,19.0,0.037328094244003296,1.0,1.0,0.0018570469692349434
20,0,0.0,0.0,0.0,0.0,3.38643741607666
21,1,1.0,0.002288329415023327,0.0,0.0,3.38643741607666
22,2,2.0,0.004576658830046654,0.0,0.0,4.335516452789307
23,3,3.0,0.006864988710731268,0.0,0.0,1.6110951900482178
24,4,4.0,0.009153317660093307,0.0,0.0,2.1166136264801025
25,5,5.0,0.011441648006439209,1.0,1.0,0.003270805347710848
26,6,6.0,0.013729977421462536,1.0,1.0,0.005280312150716782
27,7,7.0,0.016018306836485863,1.0,1.0,0.0017105033621191978
28,8,8.0,0.018306635320186615,1.0,1.0,0.0017105033621191978
29,9,9.0,0.020594965666532516,1.0,1.0,0.0017105033621191978
30,10,10.0,0.022883296012878418,1.0,1.0,0.0017105033621191978
31,11,11.0,0.02517162449657917,1.0,1.0,0.0017105033621191978
32,12,12.0,0.02745995484292507,1.0,1.0,0.0017105033621191978
33,13,13.0,0.029748283326625824,1.0,1.0,0.0017105033621191978
34,14,14.0,0.032036613672971725,1.0,1.0,0.0017105033621191978
35,15,15.0,0.03432494401931763,1.0,1.0,0.0017105033621191978
36,16,15.0,0.03432494401931763,1.0,1.0,0.0017105033621191978
37,17,15.0,0.03432494401931763,1.0,1.0,0.0017105033621191978
38,18,18.0,0.04118993133306503,1.0,1.0,0.0017105033621191978
39,19,19.0,0.043478261679410934,1.0,1.0,0.0017105033621191978
40,0,0.0,0.0,1.0,1.0,0.3638960123062134
41,1,1.0,0.0625,1.0,1.0,0.06272460520267487
42,2,2.0,0.125,0.0,0.0,2.214259147644043
43,3,3.0,0.1875,0.0,0.0,1.2400670051574707
44,4,4.0,0.25,0.0,0.0,0.5807844400405884
45,5,5.0,0.3125,1.0,1.0,0.041795212775468826
46,6,6.0,0.375,1.0,1.0,0.01540207676589489
47,7,7.0,0.4375,1.0,1.0,0.01540207676589489
48,8,7.0,0.4375,1.0,1.0,0.01540207676589489
49,9,7.0,0.4375,1.0,1.0,0.01540207676589489
50,10,7.0,0.4375,1.0,1.0,0.01540207676589489
51,11,7.0,0.4375,1.0,1.0,0.01540207676589489
52,12,7.0,0.4375,1.0,1.0,0.01540207676589489
53,13,7.0,0.4375,1.0,1.0,0.01540207676589489
54,14,7.0,0.4375,1.0,1.0,0.01540207676589489
55,15,7.0,0.4375,1.0,1.0,0.01540207676589489
56,16,16.0,1.0,1.0,1.0,4.3355630197083883e-10
57,17,16.0,1.0,1.0,1.0,4.3355630197083883e-10
58,18,16.0,1.0,1.0,1.0,4.3355630197083883e-10
59,19,16.0,1.0,1.0,1.0,4.3355630197083883e-10
60,0,0.0,0.0,1.0,0.0,1.0735679864883423
61,1,1.0,0.005025125574320555,1.0,0.0,0.9967963695526123
62,2,2.0,0.01005025114864111,0.0,0.0,2.1688690185546875
63,3,3.0,0.015075377188622952,0.0,1.0,0.3313508629798889
64,4,4.0,0.02010050229728222,1.0,0.0,1.0142987966537476
65,5,5.0,0.02512562833726406,0.0,1.0,0.7183850407600403
66,6,6.0,0.030150754377245903,0.0,1.0,0.7131680846214294
67,7,7.0,0.035175878554582596,0.0,1.0,0.8416885137557983
68,8,8.0,0.04020100459456444,0.0,1.0,0.8416885137557983
69,9,9.0,0.04522613063454628,0.0,1.0,0.8416885137557983
70,10,10.0,0.05025125667452812,0.0,1.0,0.9618966579437256
71,11,11.0,0.055276382714509964,0.0,1.0,0.9618966579437256
72,12,12.0,0.060301508754491806,0.0,1.0,0.8699339628219604
73,13,13.0,0.06532663106918335,0.0,1.0,0.8699339628219604
74,14,14.0,0.07035175710916519,0.0,1.0,0.8123972415924072
75,15,15.0,0.07537688314914703,0.0,1.0,0.8123972415924072
76,16,16.0,0.08040200918912888,0.0,1.0,0.8123972415924072
77,17,16.0,0.08040200918912888,0.0,1.0,0.8123972415924072
78,18,16.0,0.08040200918912888,0.0,1.0,0.8123972415924072
79,19,19.0,0.0954773873090744,0.0,1.0,0.8123972415924072
80,0,0.0,0.0,0.0,0.0,3.269514799118042
81,1,1.0,0.0019342360319569707,0.0,0.0,2.7325565814971924
82,2,2.0,0.0038684720639139414,0.0,0.0,4.22074556350708
83,3,3.0,0.005802707746624947,0.0,0.0,1.5856350660324097
84,4,4.0,0.007736944127827883,1.0,1.0,0.009069913998246193
85,5,5.0,0.009671179577708244,1.0,1.0,0.013469118624925613
86,6,6.0,0.011605415493249893,1.0,1.0,0.015316728502511978
87,7,7.0,0.013539651408791542,1.0,1.0,0.01044495403766632
88,8,8.0,0.015473888255655766,1.0,1.0,0.008555235341191292
89,9,9.0,0.01740812323987484,1.0,1.0,0.008555235341191292
90,10,10.0,0.01934235915541649,1.0,1.0,0.008555235341191292
91,11,11.0,0.021276595070958138,1.0,1.0,0.008555235341191292
92,12,12.0,0.023210830986499786,1.0,1.0,0.008555235341191292
93,13,13.0,0.025145066902041435,1.0,1.0,0.008555235341191292
